name,player_image,gender,battingstyle,bowlingstyle,country,country_image
Zafar Gohar,https://cdn.sportmonks.com/images/cricket/players/18/1298.png,m,left-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Zia ul Haq,https://cdn.sportmonks.com/images/cricket/players/24/1304.png,m,right-hand-bat,left-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Adnan Rasool,https://cdn.sportmonks.com/images/cricket/players/27/1307.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Shahid Yousuf,https://cdn.sportmonks.com/images/cricket/players/30/1310.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Israr ullah,https://cdn.sportmonks.com/images/cricket/players/1/1313.png,m,left-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Musadiq Ahmed,https://cdn.sportmonks.com/images/cricket/players/4/1316.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Abdur Rehman,https://cdn.sportmonks.com/images/cricket/players/10/1322.png,m,left-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Imran Khan,https://cdn.sportmonks.com/images/cricket/players/16/1328.png,m,right-hand-bat,left-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Asghar,https://cdn.sportmonks.com/images/cricket/players/19/1331.png,m,right-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Taj Wali,https://cdn.sportmonks.com/images/cricket/players/22/1334.png,m,left-hand-bat,left-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Saad Nasim,https://cdn.sportmonks.com/images/cricket/players/28/1340.png,m,right-hand-bat,legbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Rameez Raja,https://cdn.sportmonks.com/images/cricket/placeholder.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Akbar ur Rehman,https://cdn.sportmonks.com/images/cricket/players/2/1346.png,m,right-hand-bat,legbreak-googly,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Bismillah Khan,https://cdn.sportmonks.com/images/cricket/players/11/1355.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Umar Gul,https://cdn.sportmonks.com/images/cricket/players/17/1361.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Aizaz Cheema,https://cdn.sportmonks.com/images/cricket/players/20/1364.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Zulfiqar Babar,https://cdn.sportmonks.com/images/cricket/players/23/1367.png,m,right-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Rafatullah Mohmand,https://cdn.sportmonks.com/images/cricket/players/29/1373.png,m,right-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Hasan,https://cdn.sportmonks.com/images/cricket/players/3/1379.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Rohail Nazir,https://cdn.sportmonks.com/images/cricket/players/6/1382.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Hasnain,https://cdn.sportmonks.com/images/cricket/players/9/1385.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Khushdil Shah,https://cdn.sportmonks.com/images/cricket/players/12/1388.png,m,left-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Irfan Khan,https://cdn.sportmonks.com/images/cricket/players/15/1391.png,m,,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Arif,https://cdn.sportmonks.com/images/cricket/placeholder.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Taimur Sultan,https://cdn.sportmonks.com/images/cricket/placeholder.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
